NAME	TITLE	SCORE	
IK		36.7951	
ZNF750		36.7756	
MTMR3		36.7747	
UBR3		36.7664	
CDC5L		36.7495	
GIGYF2		36.7178	
MEIOC		36.6876	
GLE1		36.6595	
MVB12B		36.6549	
ZFP91		36.6539	
BAG6		36.5978	
UBQLN1		36.584	
MRPS18A		36.5832	
DIO3		36.5793	
LMO1		36.5551	
RTF2		36.5548	
SLAIN2		36.5408	
RPAP1		36.5407	
KCNC1		36.5338	
HDGF		36.5251	
RPP25L		36.5194	
KANSL1		36.5176	
NAF1		36.4943	
PSMD13		36.489	
CCDC62		36.4687	
IGDCC4		36.4643	
WDR43		36.4537	
FYTTD1		36.4482	
CSNK2A1		36.4309	
GAPVD1		36.406	
TAF4B		36.3796	
ERCC3		36.3587	
MMAA		36.3185	
RPLP1		36.2979	
KDM2A		36.2878	
EP400		36.2729	
EEF1A2		36.267	
MARF1		36.2625	
GAL3ST1		36.2414	
TENM3		36.2408	
FOXN3		36.2368	
RPS4X		36.2336	
PCF11		36.2324	
RNF141		36.2111	
PSMD7		36.2071	
EIF4A2		36.1819	
SNW1		36.1789	
ARNT2		36.1465	
RSRC2		36.1274	
DLGAP4		36.0977	
CCDC140		36.0874	
KSR1		36.0713	
API5		36.0518	
AGL		36.0488	
EIF4E3		36.0409	
CCDC25		36.0322	
BLOC1S2		36.0113	
GPS1		35.997	
MTDH		35.988	
BLMH		35.9086	
THAP12		35.9047	
CTCF		35.9006	
PYDC1		35.8985	
PNRC1		35.8978	
THAP9		35.8945	
ZSCAN21		35.8813	
EIF3C		35.8773	
POM121		35.8512	
BMI1		35.8502	
NUSAP1		35.8496	
PSMD1		35.8409	
DNASE2B		35.8407	
HSPA14		35.8345	
NOC3L		35.8164	
RNF31		35.8068	
PLAA		35.8045	
PIWIL2		35.7887	
LTN1		35.7864	
ACVR1C		35.7843	
UBR5		35.7476	
EIF4G3		35.722	
NUDCD3		35.7036	
ZNF16		35.6887	
RAB5IF		35.6818	
TFCP2L1		35.6503	
SAA1		35.6445	
WASL		35.6376	
ABCB10		35.6356	
AGO2		35.6248	
SH3BGR		35.609	
